stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(++) Projects\_C++\Game Engine\MakaiLib\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.01137] added dtor for sub_bitmap 0000000000e3e700, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01139] added dtor for sub_bitmap 0000000000e3e380, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01141] added dtor for sub_bitmap 0000000000e3d900, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01146] added dtor for sub_bitmap 0000000000e3c400, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01148] added dtor for sub_bitmap 0000000000e3d200, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01150] added dtor for sub_bitmap 0000000000e3b0c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01156] added dtor for sub_bitmap 0000000000e3d740, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01158] added dtor for sub_bitmap 0000000000e3bb40, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01160] added dtor for sub_bitmap 0000000000e3e1c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01162] added dtor for sub_bitmap 0000000000e3de40, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01165] added dtor for sub_bitmap 0000000000e3b440, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01167] added dtor for sub_bitmap 0000000000e3c5c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01169] added dtor for sub_bitmap 0000000000e3e540, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01171] added dtor for sub_bitmap 0000000000e3b280, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01173] added dtor for sub_bitmap 0000000000e3d040, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01178] added dtor for sub_bitmap 0000000000e3c780, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01180] added dtor for sub_bitmap 0000000000e3ec40, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01183] added dtor for sub_bitmap 0000000000e3b7c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01185] added dtor for sub_bitmap 0000000000e3dac0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01188] added dtor for sub_bitmap 0000000000e3b980, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01190] added dtor for sub_bitmap 0000000000e3e8c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01192] added dtor for sub_bitmap 0000000000e3bd00, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01194] added dtor for sub_bitmap 0000000000e3c940, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01196] added dtor for sub_bitmap 0000000000e3d3c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01198] added dtor for sub_bitmap 0000000000e3bec0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01200] added dtor for sub_bitmap 0000000000e3c080, func 00007ffd74781bf8
